,Mes,Casos,Codigo,Descricao
93,2021-10-31,19,9,60-64
94,2021-11-30,27,9,60-64
95,2021-12-31,50,9,60-64
96,2022-01-31,337,9,60-64
97,2022-02-28,1573,9,60-64
98,2022-03-31,3457,9,60-64
99,2022-04-30,4696,9,60-64
100,2022-05-31,5186,9,60-64
101,2022-06-30,3610,9,60-64
102,2022-07-31,839,9,60-64
103,2022-08-31,170,9,60-64
104,2022-09-30,62,9,60-64
105,2022-10-31,48,9,60-64
106,2022-11-30,48,9,60-64
107,2022-12-31,59,9,60-64
0,2014-01-31,138,10,65-69
1,2014-02-28,257,10,65-69
2,2014-03-31,311,10,65-69
3,2014-04-30,393,10,65-69
4,2014-05-31,240,10,65-69
5,2014-06-30,78,10,65-69
6,2014-07-31,18,10,65-69
7,2014-08-31,12,10,65-69
8,2014-09-30,18,10,65-69
9,2014-10-31,11,10,65-69
10,2014-11-30,16,10,65-69
11,2014-12-31,18,10,65-69
12,2015-01-31,175,10,65-69
13,2015-02-28,269,10,65-69
14,2015-03-31,752,10,65-69
15,2015-04-30,1664,10,65-69
16,2015-05-31,1156,10,65-69
17,2015-06-30,308,10,65-69
18,2015-07-31,81,10,65-69
19,2015-08-31,29,10,65-69
20,2015-09-30,26,10,65-69
21,2015-10-31,38,10,65-69
22,2015-11-30,104,10,65-69
23,2015-12-31,323,10,65-69
24,2016-01-31,1574,10,65-69
25,2016-02-29,3781,10,65-69
26,2016-03-31,4237,10,65-69
27,2016-04-30,3324,10,65-69
28,2016-05-31,894,10,65-69
29,2016-06-30,109,10,65-69
30,2016-07-31,18,10,65-69
31,2016-08-31,14,10,65-69
32,2016-09-30,15,10,65-69
33,2016-10-31,5,10,65-69
34,2016-11-30,20,10,65-69
35,2016-12-31,132,10,65-69
36,2017-01-31,145,10,65-69
37,2017-02-28,107,10,65-69
38,2017-03-31,138,10,65-69
39,2017-04-30,99,10,65-69
40,2017-05-31,76,10,65-69
41,2017-06-30,36,10,65-69
42,2017-07-31,9,10,65-69
43,2017-08-31,15,10,65-69
44,2017-09-30,12,10,65-69
45,2017-10-31,18,10,65-69
46,2017-11-30,8,10,65-69
47,2017-12-31,33,10,65-69
48,2018-01-31,45,10,65-69
49,2018-02-28,55,10,65-69
50,2018-03-31,123,10,65-69
51,2018-04-30,185,10,65-69
52,2018-05-31,103,10,65-69
53,2018-06-30,30,10,65-69
54,2018-07-31,17,10,65-69
55,2018-08-31,14,10,65-69
56,2018-09-30,6,10,65-69
57,2018-10-31,11,10,65-69
58,2018-11-30,32,10,65-69
59,2018-12-31,76,10,65-69
60,2019-01-31,416,10,65-69
61,2019-02-28,909,10,65-69
62,2019-03-31,2231,10,65-69
63,2019-04-30,3861,10,65-69
64,2019-05-31,3863,10,65-69
65,2019-06-30,917,10,65-69
66,2019-07-31,135,10,65-69
67,2019-08-31,30,10,65-69
68,2019-09-30,18,10,65-69
69,2019-10-31,20,10,65-69
70,2019-11-30,32,10,65-69
71,2019-12-31,88,10,65-69
72,2020-01-31,230,10,65-69
73,2020-02-29,368,10,65-69
74,2020-03-31,409,10,65-69
75,2020-04-30,521,10,65-69
76,2020-05-31,283,10,65-69
77,2020-06-30,117,10,65-69
